"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.406250000E3,3.223525767E-2
4.429687500E3,3.353492448E-3
4.453125000E3,1.917703257E-2
4.476562500E3,1.602122863E-2
4.500000000E3,3.597112802E-2
4.523437500E3,3.723277216E-3
4.546875000E3,1.770167895E-2
4.570312500E3,3.571508571E-3
4.593750000E3,1.546958593E-2
4.617187500E3,6.550077230E-3
4.640625000E3,2.018548886E-2
4.664062500E3,2.063653407E-2
4.687500000E3,2.174183187E-2
4.710937500E3,8.848033920E-3
4.734375000E3,2.137530058E-2
4.757812500E3,2.289124399E-2
4.781250000E3,2.528577195E-2
4.804687500E3,3.363485248E-2
4.828125000E3,2.348333032E-2
4.851562500E3,1.618925745E-2
4.875000000E3,1.367124205E-2
4.898437500E3,3.032404334E-2
4.921875000E3,1.637932307E-2
4.945312500E3,1.116119081E-2
4.968750000E3,1.304162961E-2
4.992187500E3,2.297438461E-2
5.015625000E3,9.387197840E-3
5.039062500E3,1.818418818E-2
5.062500000E3,5.433248627E-2
5.085937500E3,1.227954451E-2
5.109375000E3,3.587226988E-2
5.132812500E3,2.702456727E-2
5.156250000E3,1.163189852E-2
5.179687500E3,3.155100464E-2
5.203125000E3,2.618778534E-2
5.226562500E3,9.897730170E-3
5.250000000E3,7.779284197E-3
5.273437500E3,2.335500005E-2
5.296875000E3,2.427886563E-2
5.320312500E3,1.659715106E-2
5.343750000E3,1.523132029E-2
5.367187500E3,2.166077046E-2
5.390625000E3,9.961597606E-3
5.414062500E3,1.397303124E-2
5.437500000E3,1.205009619E-2
5.460937500E3,1.268913699E-2
5.484375000E3,1.133718751E-2
5.507812500E3,2.909248674E-2
5.531250000E3,1.555563152E-2
5.554687500E3,1.512179143E-2
5.578125000E3,1.964757522E-2
5.601562500E3,1.611269824E-2
5.625000000E3,2.860684316E-2
5.648437500E3,1.532746875E-2
5.671875000E3,1.189837356E-2
5.695312500E3,1.397930807E-2
5.718750000E3,1.132934665E-2
5.742187500E3,8.306611010E-3
5.765625000E3,1.397640342E-2
5.789062500E3,7.716092437E-3
5.812500000E3,2.366526518E-2
5.835937500E3,2.355164586E-2
5.859375000E3,1.720832655E-2
5.882812500E3,2.187181536E-2
5.906250000E3,2.183593652E-2
5.929687500E3,2.466579351E-2
5.953125000E3,2.137822762E-2
5.976562500E3,4.462489223E-2
6.000000000E3,3.079851339E-2
6.023437500E3,1.469229647E-2
6.046875000E3,8.292111729E-3
6.070312500E3,1.492774516E-3
6.093750000E3,4.452925398E-2
6.117187500E3,3.980395335E-2
6.140625000E3,1.171887447E-2
6.164062500E3,5.182004738E-2
6.187500000E3,3.645904827E-2
6.210937500E3,2.284828894E-2
6.234375000E3,2.069192125E-2
6.257812500E3,1.749907077E-2
6.281250000E3,3.862496494E-2
6.304687500E3,3.965322235E-2
6.328125000E3,2.854249422E-2
6.351562500E3,6.550078540E-3
6.375000000E3,2.295906749E-2
6.398437500E3,1.556797433E-2
6.421875000E3,1.109190756E-2
6.445312500E3,3.412242651E-3
6.468750000E3,7.007683120E-3
6.492187500E3,1.626820670E-2
6.515625000E3,1.602492205E-2
6.539062500E3,2.070426599E-2
6.562500000E3,1.003463308E-2
6.585937500E3,7.947022759E-3
6.609375000E3,8.051161902E-3
6.632812500E3,1.927132309E-2
6.656250000E3,1.031285742E-2
6.679687500E3,4.288223945E-2
6.703125000E3,2.542897003E-2
6.726562500E3,3.504694781E-2
6.750000000E3,1.425398074E-2
6.773437500E3,1.708340895E-2
6.796875000E3,5.433217883E-2
6.820312500E3,1.350782810E-2
6.843750000E3,3.246161314E-2
6.867187500E3,3.443514836E-2
6.890625000E3,3.949781649E-2
6.914062500E3,1.874073333E-2
6.937500000E3,2.265363598E-2
6.960937500E3,3.962500963E-2
6.984375000E3,3.268159992E-2
7.007812500E3,2.523671678E-2
7.031250000E3,1.525901942E-2
7.054687500E3,2.852837326E-2
7.078125000E3,2.228464113E-2
7.101562500E3,4.294139036E-2
7.125000000E3,2.180041140E-2
7.148437500E3,6.890532108E-3
7.171875000E3,1.105307710E-2
7.195312500E3,2.108703059E-2
7.218750000E3,2.937880915E-2
7.242187500E3,3.070643704E-3
7.265625000E3,1.290763349E-2
7.289062500E3,1.555035861E-2
7.312500000E3,1.059272893E-2
7.335937500E3,8.917728253E-3
7.359375000E3,7.718764350E-3
7.382812500E3,2.829794286E-2
7.406250000E3,2.407288259E-2
7.429687500E3,9.605127241E-3
7.453125000E3,5.160241171E-3
7.476562500E3,7.985963929E-3
7.500000000E3,2.313253948E-3
7.523437500E3,6.660124329E-3
7.546875000E3,5.111921365E-3
7.570312500E3,7.986010449E-3
7.593750000E3,4.269443549E-3
7.617187500E3,3.046236640E-3
7.640625000E3,1.107506748E-2
7.664062500E3,3.234196354E-3
7.687500000E3,7.055739106E-3
7.710937500E3,7.485518999E-3
7.734375000E3,9.577771100E-3
7.757812500E3,7.400767490E-3
7.781250000E3,1.000800350E-3
7.804687500E3,4.305192612E-3
7.828125000E3,4.362292967E-3
7.851562500E3,1.185338704E-3
7.875000000E3,5.127034712E-3
7.898437500E3,5.093892403E-3
7.921875000E3,2.868150381E-3
7.945312500E3,1.606865117E-2
7.968750000E3,1.556599446E-2
