"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.910156250E4,7.870193426E-4
1.912500000E4,9.077312682E-4
1.914843750E4,7.061822612E-4
1.917187500E4,9.154421624E-4
1.919531250E4,7.280739926E-4
1.921875000E4,5.917868086E-4
1.924218750E4,1.368641795E-3
1.926562500E4,1.356723450E-3
1.928906250E4,6.832300798E-4
1.931250000E4,8.890878420E-4
1.933593750E4,6.877512820E-4
1.935937500E4,8.071019371E-4
1.938281250E4,7.429799042E-4
1.940625000E4,4.524181206E-4
1.942968750E4,1.048639954E-3
1.945312500E4,1.142483490E-3
1.947656250E4,1.016103549E-3
1.950000000E4,8.402781570E-4
1.952343750E4,6.243683789E-4
1.954687500E4,1.176166973E-3
1.957031250E4,4.356592604E-4
1.959375000E4,6.463948168E-4
1.961718750E4,1.102385631E-3
1.964062500E4,9.143591502E-4
1.966406250E4,9.319220126E-4
1.968750000E4,1.065659945E-3
1.971093750E4,7.810289440E-4
1.973437500E4,8.204267619E-4
1.975781250E4,1.007858779E-3
1.978125000E4,8.688174615E-4
1.980468750E4,7.494561281E-4
1.982812500E4,9.925348900E-4
1.985156250E4,8.313208982E-4
1.987500000E4,9.052966966E-4
1.989843750E4,6.468543106E-4
1.992187500E4,8.263262505E-4
1.994531250E4,8.302624823E-4
1.996875000E4,7.899514453E-4
1.999218750E4,8.823822866E-4
2.001562500E4,5.827046313E-4
2.003906250E4,8.186568105E-4
2.006250000E4,7.494976932E-4
2.008593750E4,9.655739258E-4
2.010937500E4,7.849073626E-4
2.013281250E4,8.598381966E-4
2.015625000E4,8.267080042E-4
2.017968750E4,7.783187778E-4
2.020312500E4,9.512952197E-4
2.022656250E4,8.891551294E-4
2.025000000E4,8.451273303E-4
2.027343750E4,8.408713202E-4
2.029687500E4,8.639495237E-4
2.032031250E4,7.543159804E-4
2.034375000E4,8.584591325E-4
2.036718750E4,9.725204112E-4
2.039062500E4,8.753865588E-4
2.041406250E4,7.810628995E-4
2.043750000E4,7.124461674E-4
2.046093750E4,8.658348533E-4
2.048437500E4,7.575900908E-4
2.050781250E4,7.932701756E-4
2.053125000E4,9.388430758E-4
2.055468750E4,8.645435997E-4
2.057812500E4,7.995730258E-4
2.060156250E4,9.553105934E-4
2.062500000E4,8.771033786E-4
2.064843750E4,8.180033059E-4
2.067187500E4,7.688950937E-4
2.069531250E4,6.629702706E-4
2.071875000E4,7.560490141E-4
2.074218750E4,8.373356574E-4
2.076562500E4,9.660711346E-4
2.078906250E4,8.615834757E-4
2.081250000E4,9.009152121E-4
2.083593750E4,8.821871882E-4
2.085937500E4,8.738668979E-4
2.088281250E4,8.038036570E-4
2.090625000E4,8.949950573E-4
2.092968750E4,8.784329649E-4
2.095312500E4,7.782794038E-4
2.097656250E4,8.129876261E-4
2.100000000E4,8.145240849E-4
2.102343750E4,8.589186840E-4
2.104687500E4,8.501040485E-4
2.107031250E4,9.204378001E-4
2.109375000E4,8.837082911E-4
2.111718750E4,8.342201104E-4
2.114062500E4,7.999307925E-4
2.116406250E4,7.628691236E-4
2.118750000E4,7.240629508E-4
2.121093750E4,8.300346922E-4
2.123437500E4,9.187012135E-4
2.125781250E4,8.460755727E-4
2.128125000E4,8.381867540E-4
2.130468750E4,8.353085431E-4
2.132812500E4,8.194955674E-4
2.135156250E4,8.676076279E-4
2.137500000E4,7.777615612E-4
2.139843750E4,8.563670016E-4
2.142187500E4,7.989543528E-4
2.144531250E4,7.904996339E-4
2.146875000E4,8.587933786E-4
2.149218750E4,8.614690308E-4
2.151562500E4,8.189095852E-4
2.153906250E4,8.045338352E-4
2.156250000E4,8.192040971E-4
2.158593750E4,8.533762253E-4
2.160937500E4,7.965926327E-4
2.163281250E4,8.113078454E-4
2.165625000E4,8.412337661E-4
2.167968750E4,8.224197170E-4
2.170312500E4,8.299313379E-4
2.172656250E4,8.411611647E-4
2.175000000E4,8.436637895E-4
2.177343750E4,8.269326801E-4
2.179687500E4,8.250185993E-4
2.182031250E4,8.268613275E-4
2.184375000E4,8.237529744E-4
2.186718750E4,8.175181134E-4
2.189062500E4,8.437505660E-4
2.191406250E4,8.079586290E-4
2.193750000E4,8.363218575E-4
2.196093750E4,8.163265747E-4
2.198437500E4,7.993783090E-4
2.200781250E4,8.330328651E-4
2.203125000E4,8.432520208E-4
2.205468750E4,8.053618041E-4
2.207812500E4,8.078916660E-4
2.210156250E4,8.099730487E-4
2.212500000E4,8.440769316E-4
2.214843750E4,8.057188205E-4
2.217187500E4,8.182510451E-4
2.219531250E4,8.444952830E-4
2.221875000E4,8.252608163E-4
2.224218750E4,8.174508612E-4
2.226562500E4,8.152824402E-4
2.228906250E4,8.159735234E-4
2.231250000E4,8.181953875E-4
2.233593750E4,8.224739488E-4
2.235937500E4,8.235247005E-4
2.238281250E4,8.495723978E-4
2.240625000E4,7.971047944E-4
2.242968750E4,8.145056582E-4
2.245312500E4,8.135526758E-4
2.247656250E4,8.098755406E-4
2.250000000E4,8.204943087E-4
2.252343750E4,8.152685458E-4
2.254687500E4,8.140260462E-4
2.257031250E4,8.182409071E-4
2.259375000E4,8.247392884E-4
2.261718750E4,8.122132156E-4
2.264062500E4,7.984846580E-4
2.266406250E4,8.112164689E-4
2.268750000E4,8.247636047E-4
2.271093750E4,8.098228458E-4
2.273437500E4,8.124511002E-4
2.275781250E4,8.276995817E-4
2.278125000E4,8.268325548E-4
2.280468750E4,8.208411289E-4
2.282812500E4,8.236116626E-4
2.285156250E4,8.251846576E-4
2.287500000E4,8.167955785E-4
2.289843750E4,8.137915538E-4
2.292187500E4,8.270251071E-4
2.294531250E4,8.229709219E-4
2.296875000E4,8.202366311E-4
2.299218750E4,8.192353899E-4
2.301562500E4,8.230202079E-4
2.303906250E4,8.150351706E-4
2.306250000E4,8.234970397E-4
2.308593750E4,8.124485497E-4
2.310937500E4,8.232223424E-4
2.313281250E4,8.171995157E-4
2.315625000E4,8.215997831E-4
2.317968750E4,8.203731009E-4
2.320312500E4,8.193137759E-4
2.322656250E4,8.164482573E-4
2.325000000E4,8.217796376E-4
2.327343750E4,8.226154863E-4
2.329687500E4,8.172193444E-4
2.332031250E4,8.209850451E-4
2.334375000E4,8.203697336E-4
2.336718750E4,8.164995169E-4
2.339062500E4,8.186111135E-4
2.341406250E4,8.155884401E-4
2.343750000E4,8.119469370E-4
2.346093750E4,8.151993746E-4
2.348437500E4,8.173052284E-4
2.350781250E4,8.189189388E-4
2.353125000E4,8.174024816E-4
2.355468750E4,8.183771560E-4
2.357812500E4,8.155043415E-4
2.360156250E4,8.206718143E-4
2.362500000E4,8.147847512E-4
2.364843750E4,8.186230306E-4
2.367187500E4,8.186532890E-4
2.369531250E4,8.189560777E-4
2.371875000E4,8.128513599E-4
2.374218750E4,8.164133450E-4
2.376562500E4,8.136020571E-4
2.378906250E4,8.213180794E-4
2.381250000E4,8.193378928E-4
2.383593750E4,8.150123347E-4
2.385937500E4,8.153152499E-4
2.388281250E4,8.140614742E-4
2.390625000E4,8.189260421E-4
2.392968750E4,8.173533309E-4
2.395312500E4,8.180435540E-4
2.397656250E4,8.150293310E-4
